period,total_return,sharpe_ratio,max_drawdown,num_trades
7,-0.2589058191383786,-0.19034287488225773,-0.3209433077588465,164
8,0.5438154504967241,0.6098725523382603,-0.259109881145947,159
9,0.44164480582908294,0.5290362838690139,-0.2908742684462473,141
10,0.40548255636491115,0.4960260761207039,-0.30095639380951533,133
11,-0.26551772034511933,-0.20072590968151316,-0.3245472438851067,116
12,-0.2216303687070147,-0.14170421570226424,-0.31906208746892484,110
13,-0.1939546491355485,-0.10114329288840597,-0.28076577639950406,108
14,-0.29725428247348973,-0.23754430276682406,-0.3703795867775007,108
15,-0.288191225947117,-0.22740097900157952,-0.3622596007670865,106
16,-0.2662354139432419,-0.19594964438055784,-0.3425884351068079,94
17,-0.30292235478440344,-0.24638101468478835,-0.37545785896268524,96
18,0.5838976194459837,0.6604807411772504,-0.24033047141062358,91
19,-0.28648095504798243,-0.2218931283128023,-0.3712881806348325,92
20,-0.27510711248709496,-0.20758308842684867,-0.36126620672927345,88
21,-0.246467421520019,-0.17055607968299602,-0.33603056327819025,84
22,-0.2855710557019322,-0.22444281333897698,-0.37048642982335567,86
23,-0.3020032437115354,-0.24769085279146744,-0.37411387779406347,82
24,-0.2830719145373902,-0.22037675164514645,-0.35713836021714074,84
25,-0.3174759165043717,-0.2653761432508446,-0.3879880556999381,82
26,-0.2742259554113705,-0.20210261593628712,-0.34920628459544756,78
27,-0.31400322972288874,-0.25653096468302244,-0.3848741351212013,78
28,-0.2989669450793504,-0.23544832480070324,-0.37139126173655834,76
29,-0.32639551491286944,-0.27554861207442694,-0.3959861628676765,74
30,0.48435311671810033,0.5863408640849471,-0.2805509990929226,73
31,0.4800977921870959,0.5835413994577553,-0.2961386950367243,73
32,0.40999479778162673,0.5204590187917798,-0.30204209539674176,71
33,0.514829154955772,0.612676915053554,-0.2749958054989945,69
34,0.4042908848202731,0.515192923688294,-0.27770630178471034,71
35,0.28571331370284314,0.40159719095140095,-0.296660697148461,75
36,0.24467007988184708,0.36056697718268166,-0.31911307370455066,77
37,0.2553201075488305,0.3711746321523462,-0.3268210564887415,75
38,0.21949611975647443,0.33464097792975234,-0.330081685229064,75
39,0.29658594315642883,0.40941848790422036,-0.29834472839879145,77
40,0.2806157311844568,0.39393272385066647,-0.29834472839879145,79
41,0.2674857567576858,0.38115530090362715,-0.29834472839879145,79
42,0.25859493317903737,0.37194659785121537,-0.3125656574216852,83
43,0.22778964780700384,0.34129457115986633,-0.32375297193707275,87
44,0.20738565056243474,0.3204624083004312,-0.319485071118799,87
45,0.19588277082889927,0.30849302604626133,-0.3244727032489302,83
46,0.2197039312885367,0.3325669001194124,-0.32129314467117,77
47,0.1281352381531322,0.23616329999980218,-0.3507330917075405,81
48,0.09362418027536323,0.19804210238272643,-0.35073309170754097,85
49,0.12494740727171094,0.2323971662949456,-0.3377339307217667,81
50,0.16655159414354093,0.2763995081379123,-0.3377339307217667,77
51,0.15050875546552112,0.2596015521144789,-0.34163554455414624,79
52,0.1952144497167163,0.3055690301785349,-0.3339064116225041,73
53,0.14096088247357885,0.24891647784959756,-0.36822565518945893,73
54,0.143186575837829,0.25120923584875055,-0.36227736981042546,73
55,0.15490238445008542,0.26350157490691667,-0.34032829679940635,71
56,0.21391952414082316,0.3216193945661186,-0.3176578127009144,67
57,0.21859647227040835,0.326153932472815,-0.3176578127009143,65
58,0.23135230411177732,0.3386364846730304,-0.3176578127009143,67
59,0.21920775888876598,0.3268663267672495,-0.320228604205711,67
60,0.22689746837364622,0.3343295780641639,-0.32022860420571164,67
61,0.2717331889615602,0.3761857795911579,-0.32022860420571164,67
62,0.24756894874284674,0.3528092046743588,-0.32022860420571164,67
63,0.24509296404292824,0.35011524405642697,-0.32022860420571164,67
64,-0.455420260118398,-0.5530338532227925,-0.4646925262565367,70
65,-0.4565945893724843,-0.5553733967094628,-0.46584686083843774,70
66,-0.4399255406517346,-0.5248983196912865,-0.44946162703897397,68
67,-0.4334633978984589,-0.5116276191309175,-0.44310951171243296,66
68,-0.4372050748104339,-0.5199037433805022,-0.44678748110539834,64
69,-0.42925391246769296,-0.5053748273619018,-0.43897169892455146,62
70,-0.42139133693828923,-0.49100073674361605,-0.4312429952370487,58
71,-0.4346682779244295,-0.5164835821007012,-0.4442938768946678,56
72,-0.4304649469649061,-0.5085520793048252,-0.44016211378915937,56
73,-0.4177534811234096,-0.48549405983309113,-0.42766707923523495,56
74,-0.4223295494801006,-0.493913634897049,-0.4321652333388566,54
75,-0.4096661246560185,-0.471826019614148,-0.4197174218337987,50
76,-0.4096661246560185,-0.471826019614148,-0.4197174218337987,50
77,-0.40673270388525595,-0.46647615790966324,-0.41683394683973285,48
78,-0.39450904407733345,-0.4452356882769107,-0.4048184127085859,50
79,-0.3857170984645065,-0.4300256869135137,-0.3961761628218833,48
80,-0.4000608369699553,-0.45681817278540165,-0.41027567821160016,48
81,-0.42656885682885803,-0.5036317769033962,-0.43633236028298206,48
82,-0.4224239685470299,-0.4960628158025722,-0.43225804478314966,48
83,0.25708537613875393,0.36076843234629635,-0.375845450509222,47
84,0.25708537613875393,0.36076843234629635,-0.375845450509222,47
85,-0.4215910860385087,-0.49515706144416977,-0.43981587943559664,48
86,-0.4006141024544376,-0.458546029408355,-0.4194998489984877,46
87,0.3095590768911203,0.40823726966820895,-0.35400162703555205,47
88,0.3017229845244487,0.4008628753428528,-0.34076543659649094,43
89,0.29977653407069615,0.3991431326691758,-0.3461580395015601,43
90,0.2881690050159391,0.38859478094189603,-0.352446593879272,43
